b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
101.6,101.6,3.18,914.4,330.96,23.44,488.41,350
130.0,130.0,4.0,390.0,495.0,58.4,2018.0,85
73.93,73.93,4.89,1512.0,762.0,113.0,1732.0,757
120.0,120.0,3.84,2600.0,330.1,17.9,833.0,338
161.9,119.0,2.0,480.0,305.1,58.6,1740.0,128
150.0,150.0,5.0,450.0,701.0,21.0,2828.0,707
100.0,100.0,5.0,400.0,403.4,32.4,1313.0,206
180.0,180.0,6.6,540.0,824.0,39.1,5028.0,685
200.0,200.0,6.0,695.0,485.0,80.5,4973.0,902
150.0,150.0,4.5,2700.0,438.36,31.87,1356.26,566
200.0,100.0,5.0,2000.0,360.0,10.0,1062.0,604
250.0,250.0,2.5,750.0,338.0,50.8,3190.0,921
150.0,150.0,4.5,3600.0,438.36,31.87,1143.46,567
100.0,100.0,4.0,400.0,239.8,32.4,1000.0,218
140.0,140.0,5.0,2100.0,362.0,33.4,1248.0,608
120.0,120.0,5.86,360.0,321.1,16.1,1176.0,175
162.0,106.9,4.81,480.0,347.3,58.6,2320.0,520
140.0,140.0,5.0,2100.0,362.0,33.4,1248.0,401
100.0,100.0,2.0,2501.0,240.0,33.5,360.0,412
100.0,100.0,6.8,300.0,599.5,89.2,2209.4,992
200.0,200.0,3.0,2310.0,303.5,58.5,1986.0,634
180.0,90.0,4.0,540.0,495.0,58.4,1773.0,493
250.0,250.0,1.87,750.0,282.0,60.0,3400.0,964
156.7,102.4,4.8,480.0,347.3,49.4,1915.0,509
204.0,203.3,10.01,3050.0,290.0,31.1,2869.0,353
200.0,150.0,2.1,800.0,245.17,22.56,844.35,544
114.86,114.86,4.39,406.4,254.07,32.13,896.76,529
101.6,101.6,2.13,914.0,336.0,23.8,524.0,343
175.0,175.0,6.47,525.0,835.0,40.5,4493.0,261
120.0,100.0,5.7,360.0,514.53,55.3,2100.0,723
100.0,100.0,1.87,300.0,282.0,81.0,860.0,957
103.6,103.6,4.9,300.0,347.3,49.4,1340.0,93
264.0,264.0,6.47,792.0,835.0,41.1,7117.0,672
99.4,99.4,4.92,3512.0,762.0,113.0,851.0,785
120.0,120.0,6.47,360.0,835.0,40.5,2957.0,257
60.0,60.0,4.0,2700.0,528.55,28.8,127.7,743
195.0,130.0,2.65,780.0,340.1,22.0,980.0,577
125.7,102.7,5.15,390.0,347.3,58.6,1840.0,124
148.8,148.8,2.02,3585.0,217.48,40.6,860.0,457
100.7,100.7,7.63,300.0,371.6,130.8,2051.0,892
200.2,98.9,4.18,600.0,550.0,56.6,2380.0,488
153.0,153.0,3.31,456.0,148.0,36.1,915.0,155
150.0,150.0,8.0,450.0,779.0,152.3,6536.0,869
60.0,60.0,2.0,180.0,404.0,50.9,318.0,965
149.8,149.8,4.31,1550.0,245.54,39.0,1350.0,443
99.51,99.51,4.92,3512.0,762.0,113.0,761.0,786
100.0,100.0,4.0,400.0,239.8,32.4,921.2,220
100.0,100.0,4.0,400.0,239.8,32.4,970.0,219
100.0,100.0,2.0,2507.0,240.0,10.0,243.0,418
318.0,318.0,6.36,954.0,618.0,41.1,7473.0,661
200.0,200.0,3.0,2311.0,303.5,46.8,2045.0,420
150.1,150.1,2.02,1050.0,217.48,25.9,800.0,434
150.0,90.0,3.0,2250.0,320.0,10.0,491.0,613
195.0,130.0,2.65,2340.0,340.1,22.0,815.0,582
150.0,150.0,4.93,595.0,294.9,36.9,1645.0,33
150.0,150.0,4.9,2201.0,316.6,68.5,2381.0,428
150.0,150.0,4.5,4500.0,438.36,31.87,909.08,568
190.0,190.0,2.5,570.0,342.0,67.0,2480.0,925
101.5,100.6,4.18,300.0,550.0,56.6,1535.0,77
127.3,127.3,3.15,635.0,356.0,30.5,917.0,380
160.2,81.4,4.18,480.0,550.0,56.6,1710.0,483
200.0,200.0,6.0,695.0,485.0,38.0,3452.0,900
199.2,102.1,4.18,600.0,550.0,65.7,2900.0,489
215.0,215.0,4.38,645.0,262.0,41.1,2393.0,645
99.29,99.29,4.89,1512.0,762.0,113.0,2374.0,762
120.0,120.0,5.0,500.0,439.0,96.0,2240.0,363
151.4,101.3,5.72,635.0,324.0,23.8,1335.0,378
109.8,109.8,1.53,330.0,279.9,32.9,522.0,59
99.6,44.7,2.9,300.0,228.0,36.1,237.0,161
180.0,100.0,5.8,570.0,300.0,56.0,2035.0,474
150.7,150.7,2.02,3586.0,217.48,40.6,850.0,456
148.0,148.0,1.57,598.0,246.7,25.8,660.0,15
250.0,250.0,2.0,750.0,404.0,50.9,2965.0,974
200.0,200.0,3.0,601.0,303.5,46.8,2594.0,324
211.0,211.0,5.48,633.0,294.0,91.1,4773.0,676
150.0,100.0,4.5,1855.0,379.8,70.0,1885.6,859
150.0,100.0,4.5,1855.0,379.8,63.0,1702.8,852
200.0,200.0,1.87,600.0,282.0,81.0,2920.0,962
211.0,211.0,6.36,633.0,618.0,40.5,4428.0,249
140.0,80.0,2.86,420.0,228.0,47.44,740.0,394
100.0,100.0,2.0,2500.0,240.0,33.4,360.0,619
158.2,105.7,2.93,480.0,255.1,49.4,1440.0,507
150.0,100.0,4.5,1855.0,379.8,29.0,1281.3,848
199.62,199.62,4.95,2512.0,762.0,113.0,6141.0,778
323.0,323.0,4.38,969.0,262.0,25.4,3367.0,647
200.0,200.0,2.93,792.0,256.4,25.9,1560.0,21
150.0,150.0,4.96,595.0,294.9,36.9,1650.0,35
99.8,44.2,2.9,300.0,228.0,108.6,344.0,163
120.0,120.0,3.0,2700.0,400.77,28.8,770.39,753
142.3,142.3,2.01,420.0,305.1,58.6,1855.0,109
130.3,102.3,5.14,390.0,347.3,49.4,1600.0,117
150.0,150.0,2.0,450.0,404.0,81.0,2060.0,977
100.0,100.0,1.9,300.0,404.0,121.6,1190.0,691
101.1,101.1,2.18,300.0,300.0,61.0,783.0,298
140.0,140.0,4.0,420.0,495.0,77.6,2752.0,88
60.0,60.0,1.87,180.0,282.0,81.0,382.0,955
100.4,100.4,3.79,300.0,306.7,59.0,1138.0,887
180.0,180.0,5.0,570.0,701.0,54.5,3856.0,715
200.0,200.0,6.39,600.0,310.0,119.0,4965.0,282
199.0,199.0,3.99,796.0,279.0,36.2,2100.0,23
120.0,120.0,2.65,360.0,340.0,21.9,778.0,144
120.0,120.0,5.0,500.0,438.0,46.0,1690.0,361
186.0,186.0,3.0,540.0,300.0,32.0,1555.0,913
180.0,100.0,5.8,540.0,300.0,92.0,2291.0,467
150.0,100.0,4.5,1855.0,379.8,70.0,1891.6,860
120.0,80.0,5.0,2760.0,386.3,44.0,600.0,354
180.4,119.8,4.18,540.0,550.0,65.7,2970.0,481
100.0,100.0,3.0,400.0,288.2,32.4,931.0,197
246.0,246.0,3.0,300.0,300.0,38.0,2200.0,909
149.8,149.8,4.27,600.0,412.0,31.9,1598.0,329
210.0,210.0,5.48,630.0,294.0,39.1,3184.0,268
120.0,120.0,8.0,500.0,323.0,39.0,1550.0,364
121.0,103.0,7.69,363.0,423.2,43.2,2545.0,726
127.2,126.8,7.47,635.0,347.0,23.8,2069.0,384
200.0,200.0,3.0,600.0,303.5,58.5,2550.0,632
125.0,125.0,3.2,1000.0,443.0,94.0,1586.0,386
180.0,180.0,6.3,4000.0,413.0,92.4,4008.0,357
199.0,199.0,1.5,798.0,192.4,27.7,1362.0,2
73.95,73.95,4.97,3512.0,762.0,113.0,286.0,782
149.1,149.1,3.69,448.0,283.6,31.7,1409.0,139
150.0,90.0,3.0,2250.0,320.0,10.0,503.0,612
150.0,150.0,0.7,480.0,245.17,33.73,747.27,545
175.7,134.9,2.91,993.0,319.3,68.5,2401.0,430
125.0,125.0,3.0,300.0,296.06,94.31,1441.2,898
120.0,120.0,8.0,500.0,323.0,103.0,2270.0,367
260.0,260.0,7.1,1000.0,426.0,92.4,7488.0,358
140.0,140.0,4.0,2100.0,366.0,33.4,1011.0,606
99.8,99.8,4.8,302.0,289.0,25.52,780.0,319
190.0,100.0,4.0,570.0,495.0,58.4,2124.0,498
300.7,300.7,6.1,902.0,395.0,52.2,6494.0,305
100.0,100.0,4.5,2700.0,424.49,28.8,501.71,752
150.0,150.0,12.5,450.0,446.0,152.3,5953.0,836
163.9,100.3,1.99,480.0,305.1,49.4,1080.0,504
73.84,73.84,4.89,1512.0,762.0,113.0,1362.0,758
150.0,150.0,3.5,1000.0,405.0,25.0,1516.26,738
120.0,120.0,8.0,500.0,300.0,46.0,1670.0,937
200.0,150.0,0.7,800.0,245.17,22.56,705.1,542
150.0,150.0,12.5,450.0,446.0,147.0,6039.0,838
151.4,102.1,7.34,635.0,358.0,23.8,1691.0,379
200.5,100.5,2.97,402.0,392.0,56.0,2160.0,950
100.0,100.0,2.0,2500.0,240.0,10.0,243.0,625
100.0,100.0,5.0,400.0,403.4,32.4,1244.6,212
156.0,156.0,3.0,450.0,300.0,50.0,1708.0,912
147.7,147.7,4.31,2550.0,245.54,39.0,1175.0,451
150.0,100.0,4.5,1855.0,379.8,70.0,1894.6,857
101.0,101.0,9.6,302.0,400.0,46.08,1800.0,318
204.0,204.0,5.95,612.0,540.0,91.1,5303.0,682
126.0,126.0,3.0,300.0,300.0,40.0,950.0,906
76.2,76.2,3.35,812.8,324.05,45.06,462.62,533
150.3,149.9,1.98,399.5,413.0,56.0,2046.0,945
120.0,120.0,5.8,360.0,300.0,92.0,1919.0,63
75.0,75.0,3.0,250.0,370.0,79.0,684.0,819
318.0,318.0,6.36,954.0,618.0,41.1,7473.0,254
100.7,100.4,4.18,300.0,550.0,65.7,1775.0,79
300.0,300.0,6.0,1050.0,369.0,40.0,6298.0,953
142.1,142.1,3.02,420.0,255.1,44.9,1360.0,98
200.0,200.0,5.0,600.0,227.0,28.8,2530.0,51
140.0,140.0,5.0,2100.0,362.0,10.0,1005.0,609
100.0,100.0,5.0,400.0,403.4,32.4,1195.0,202
150.0,150.0,8.0,450.0,779.0,152.3,6536.0,826
124.05,124.05,4.93,1512.0,762.0,113.0,2799.0,765
148.0,148.0,4.38,444.0,262.0,77.0,2108.0,642
160.0,110.0,4.0,480.0,495.0,58.4,1923.0,496
120.0,120.0,8.0,500.0,379.0,80.0,2290.0,943
120.0,120.0,5.8,360.0,300.0,74.7,1697.0,62
150.0,150.0,4.5,1200.0,438.36,31.87,1585.74,564
100.0,100.0,3.0,400.0,288.2,32.4,833.0,200
157.1,122.5,2.01,480.0,305.1,58.6,1800.0,127
148.2,148.2,4.31,3600.0,245.54,39.0,1075.0,459
120.0,120.0,8.0,500.0,379.0,39.0,1800.0,941
149.99,149.99,4.92,510.0,762.0,100.0,4115.0,802
204.0,204.0,5.95,612.0,540.0,39.1,4026.0,681
180.0,180.0,6.6,540.0,824.0,31.1,5030.0,278
152.0,150.0,8.28,451.0,488.38,55.3,3575.0,721
150.0,100.0,4.0,300.0,270.84,90.58,1188.5,896
120.0,120.0,6.47,360.0,835.0,40.5,2961.0,665
149.3,149.3,3.64,1350.0,289.0,44.0,1552.0,526
60.0,60.0,3.0,2700.0,351.51,28.8,105.4,742
319.0,319.0,6.36,957.0,618.0,41.1,7780.0,660
158.9,102.6,4.74,480.0,347.3,58.6,2060.0,521
100.0,100.0,4.1,301.0,333.0,46.08,880.0,316
74.44,74.44,4.94,2512.0,762.0,113.0,878.0,767
74.04,74.04,4.91,285.0,762.0,100.0,1636.0,796
100.0,100.0,6.8,300.0,599.5,128.1,2492.1,995
100.0,100.0,2.0,2505.0,240.0,10.0,240.0,416
144.0,144.0,6.36,432.0,618.0,40.5,2808.0,245
99.2,99.2,4.93,360.0,762.0,100.0,2632.0,799
199.78,199.78,4.92,2512.0,762.0,113.0,6329.0,780
148.0,148.0,6.92,2550.0,292.31,35.4,1740.0,453
130.3,101.6,5.03,390.0,347.3,49.4,1580.0,116
140.0,140.0,3.84,2600.0,330.1,17.7,1048.6,340
125.0,125.0,4.0,300.0,342.59,94.33,1882.5,894
140.0,140.0,4.0,420.0,495.0,77.6,2828.0,89
323.0,323.0,4.38,969.0,262.0,41.1,4950.0,648
170.8,135.3,5.07,510.0,347.3,49.4,2470.0,123
162.8,99.6,2.13,480.0,305.1,58.6,1460.0,514
211.0,211.0,6.36,633.0,618.0,40.5,4428.0,656
200.0,200.0,3.93,794.0,256.4,25.9,1509.0,22
100.7,100.7,7.59,300.0,371.6,113.2,1976.0,891
198.0,198.0,2.92,797.0,256.4,27.6,1760.0,19
